Date,Product_ID,Product_Name,COGM,Product_Profit,Product_Loss,ROI (%),Equipment_ID,Department_Name,Department_Cost,Budget,Actual_Spend,Working_Capital,Cash_Flow_Amount,Risk_Level
2023-03-01,P001,Widget_A,248607,75207,3277,9.17,EQ2494,Logistics,209715,249850.33,196824.77,663328,95895,Medium
2023-09-01,P004,Widget_D,370493,65566,3412,17.38,EQ4805,Assembly,210939,248150.63,217178.05,652111,95318,Medium
2024-04-01,P002,Widget_B,491662,75938,235,5.42,EQ2300,Logistics,270403,312012.08,281381.1,814181,163684,Low
2024-03-01,P004,Widget_D,399994,97541,3094,13.68,EQ8762,Assembly,237792,239439.95,254329.19,719402,164171,Low
2023-02-01,P005,Widget_E,365146,87377,1270,8.79,EQ8925,Logistics,226122,230013.14,219049.37,654962,184160,Low
2024-06-01,P002,Widget_B,302487,28092,4965,15.44,EQ1266,Manufacturing,213649,220354.5,212499.85,764574,77870,Low
2023-01-01,P003,Widget_C,100540,47797,443,17.86,EQ9014,Manufacturing,225878,245674.55,214992.25,864064,154103,Low
2022-05-01,P001,Widget_A,387459,31768,3642,14.46,EQ1578,Manufacturing,297347,349151.8,277517.3,712814,87831,Low
2024-07-01,P003,Widget_C,108324,63091,4098,19.4,EQ7920,Manufacturing,347015,374300.07,356216.15,671831,93963,Medium
2023-07-01,P003,Widget_C,271294,91785,4538,8.17,EQ4640,Assembly,210386,211693.24,190409.37,410643,145399,Low
2024-06-01,P003,Widget_C,261857,97224,1847,5.11,EQ6074,Assembly,267416,302306.88,275149.88,420616,111587,Low
2025-03-01,P005,Widget_E,465102,60217,1234,10.12,EQ3969,Quality,236469,275767.23,255207.09,658121,107834,Low
2023-01-01,P002,Widget_B,166408,73439,161,18.46,EQ8820,Manufacturing,372208,392299.32,373687.12,697105,99107,High
2022-05-01,P004,Widget_D,171891,33251,3778,11.86,EQ3996,Quality,247556,266866.27,249615.62,588641,98026,Low
2022-07-01,P003,Widget_C,478239,61580,1689,17.73,EQ6481,Assembly,225060,227208.28,203789.77,555605,96253,Low
2024-06-01,P003,Widget_C,426500,44309,3955,7.62,EQ1326,Quality,367391,437793.67,390805.49,797797,96376,Medium
2024-10-01,P001,Widget_A,404842,32133,4771,12.99,EQ5469,Manufacturing,278316,283644.85,278375.18,829060,186983,Low
2024-04-01,P005,Widget_E,456664,54331,4128,18.98,EQ4970,Logistics,222357,255173.89,208972.67,533873,54732,Medium
2022-06-01,P005,Widget_E,373116,71467,4423,13.06,EQ1802,Quality,382737,409092.88,384798.83,923641,104609,Low
2023-07-01,P002,Widget_B,115742,21585,3807,8.47,EQ0201,Assembly,311485,326828.49,309984.91,423584,154837,Low
2023-01-01,P004,Widget_D,189384,70263,952,18.81,EQ2305,Quality,233606,273758.58,233982.89,759933,129635,Medium
2024-11-01,P005,Widget_E,427812,60479,2898,16.83,EQ4380,Logistics,255986,279436.81,263538.36,873801,76698,Low
2024-09-01,P001,Widget_A,205874,67681,3166,17.32,EQ3020,Logistics,352560,408589.44,359073.43,516812,116142,High
2023-02-01,P002,Widget_B,298720,40822,1015,8.18,EQ2037,Quality,220101,245950.66,208285.21,635276,160888,Medium
2024-04-01,P005,Widget_E,412479,53826,3928,5.55,EQ0390,Logistics,225512,240971.86,236063.47,872030,198405,Low
2022-07-01,P002,Widget_B,410434,84940,3846,15.36,EQ2819,Quality,248251,262973.7,271143.42,583132,183647,Low
2023-06-01,P004,Widget_D,410216,30776,4140,14.57,EQ3432,Assembly,268265,279164.55,288290.02,772160,128281,Low
2024-04-01,P002,Widget_B,200488,56628,1434,5.56,EQ6460,Assembly,371384,428219.84,384618.85,552853,182143,Low
2022-09-01,P001,Widget_A,153586,59674,4159,17.13,EQ9104,Quality,280796,312632.07,294354.67,983659,113227,Low
2024-04-01,P002,Widget_B,316205,47738,3744,12.77,EQ4201,Assembly,312952,347909.39,330880.04,781255,177763,Low
2023-09-01,P001,Widget_A,438484,60700,2515,10.42,EQ4535,Assembly,260757,306644.03,239721.41,964352,111979,Medium
2022-05-01,P001,Widget_A,239718,47981,4209,6.05,EQ7782,Manufacturing,333740,337529.22,360026.33,775312,163356,Medium
2025-04-01,P005,Widget_E,160526,95863,2125,17.14,EQ4964,Logistics,340253,382186.27,346946.46,865900,123078,Low
2024-06-01,P002,Widget_B,441628,68620,412,17.37,EQ6226,Assembly,349993,390407.86,362614.32,838679,86653,Low
2025-01-01,P001,Widget_A,397368,75474,1230,7.78,EQ4925,Assembly,206597,219694.01,191689.96,530592,162804,Low
2022-10-01,P004,Widget_D,213176,79930,1431,19.74,EQ6920,Logistics,358805,384291.49,360541.46,914003,129425,High
2022-10-01,P005,Widget_E,382345,79388,654,10.68,EQ2204,Assembly,358794,389688.4,351645.95,773711,191128,Low
2023-04-01,P004,Widget_D,246115,62836,4789,14.11,EQ1606,Logistics,267718,319642.82,250636.52,707443,146687,Low
2024-06-01,P005,Widget_E,131383,61855,3410,12.81,EQ1855,Logistics,265185,317621.41,266102.18,421766,157483,Medium
2022-11-01,P004,Widget_D,491272,88140,2983,14.48,EQ2666,Quality,304884,350768.59,316036.87,676574,82506,Medium
2022-12-01,P002,Widget_B,321760,75102,3530,14.21,EQ1203,Manufacturing,233394,236758.9,225805.8,752637,81232,Low
2023-04-01,P005,Widget_E,243722,53716,1861,10.48,EQ9234,Assembly,244193,283390.89,264538.98,626054,153480,Low
2022-07-01,P002,Widget_B,259641,80081,2432,9.2,EQ3354,Logistics,201559,207943.19,185800.18,465719,78133,Low
2024-08-01,P002,Widget_B,209981,35755,1218,17.13,EQ0517,Assembly,361620,366674.26,349971.38,750219,69658,High
2023-03-01,P005,Widget_E,478564,35982,1340,17.84,EQ4037,Quality,383307,452991.5,376691.38,834395,186841,Medium
2024-02-01,P003,Widget_C,491798,28133,4537,19.85,EQ0005,Assembly,200612,205251.41,182713.63,870845,178618,High
2022-10-01,P004,Widget_D,462008,24371,2247,19.55,EQ7324,Logistics,302692,347473.87,311049.27,560133,153855,Low
2023-06-01,P002,Widget_B,171573,73775,2588,14.92,EQ2351,Manufacturing,341106,399938.63,323043.22,966094,95894,Low
2022-09-01,P004,Widget_D,418305,80305,1083,7.51,EQ8371,Assembly,336623,352846.64,340893.72,945734,103874,Low
2023-10-01,P004,Widget_D,156405,52247,3119,15.62,EQ1662,Quality,364288,420284.6,341075.47,892940,91551,High
2023-08-01,P004,Widget_D,450952,63006,3784,13.17,EQ0319,Assembly,270608,289540.78,274430.23,581570,77710,Low
2022-08-01,P002,Widget_B,160973,48099,1665,12.02,EQ6973,Logistics,286956,321910.07,285523.64,793725,134889,High
2023-01-01,P002,Widget_B,358725,97922,3817,19.4,EQ1118,Logistics,280771,305086.89,279116.36,764755,120132,Medium
2024-04-01,P002,Widget_B,195423,64877,4740,17.91,EQ9199,Assembly,390844,407568.36,390590.29,517691,165777,High
2025-03-01,P003,Widget_C,115708,46925,372,16.98,EQ5824,Quality,365305,412550.49,332105.0,695059,73757,Low
2024-06-01,P005,Widget_E,109022,93202,567,16.35,EQ8854,Manufacturing,318879,374130.13,341442.02,994116,173135,Medium
2022-12-01,P002,Widget_B,150729,92550,3500,12.91,EQ0531,Quality,373678,443560.51,395868.76,767562,114676,Medium
2024-03-01,P001,Widget_A,288632,31191,915,10.74,EQ0873,Logistics,331571,373021.81,328221.35,414605,156375,Low
2024-02-01,P001,Widget_A,105634,57091,3381,16.65,EQ4825,Logistics,214765,233216.53,200637.74,853036,115229,Low
2023-07-01,P001,Widget_A,431377,64324,434,9.45,EQ6987,Manufacturing,377134,425889.23,362256.3,925101,184132,Medium
2024-01-01,P002,Widget_B,417224,94602,3557,13.46,EQ2292,Manufacturing,239301,244484.51,247373.09,505798,65050,Low
2022-08-01,P002,Widget_B,344305,89304,1221,12.11,EQ1206,Logistics,332465,335985.24,344429.1,910918,168416,Low
2023-02-01,P001,Widget_A,280522,83868,4886,6.57,EQ3575,Quality,342225,395181.83,357437.32,409793,170910,Low
2024-12-01,P004,Widget_D,132438,52098,4352,5.9,EQ4930,Assembly,213041,241765.23,200077.22,887783,107843,Medium
2023-09-01,P003,Widget_C,161312,23879,727,16.37,EQ0908,Assembly,385148,399543.81,396093.61,895124,189240,Low
2024-04-01,P002,Widget_B,320068,41827,82,18.34,EQ9172,Logistics,345847,393974.46,335688.17,843581,77900,Low
2024-05-01,P001,Widget_A,364499,68059,4580,11.24,EQ5057,Assembly,359391,421220.04,334969.53,881781,158518,Low
2024-07-01,P003,Widget_C,351132,31823,2581,19.68,EQ1145,Manufacturing,357318,405025.07,328540.01,455004,113119,Low
2023-01-01,P004,Widget_D,374156,91315,2768,8.06,EQ0730,Assembly,217420,226393.39,223845.86,476447,77912,Medium
2024-06-01,P005,Widget_E,415513,71170,1395,17.88,EQ3109,Quality,215304,257428.15,209734.08,899263,198370,Low
2024-05-01,P002,Widget_B,101894,25660,3228,5.72,EQ4098,Manufacturing,359260,373232.06,357755.69,895429,63517,Low
2022-11-01,P004,Widget_D,450692,71599,1710,13.21,EQ7534,Quality,261762,266274.04,260862.98,523860,54428,Medium
2023-12-01,P003,Widget_C,462947,74890,571,9.77,EQ5093,Logistics,288936,319587.14,282960.85,801181,62500,Low
2023-09-01,P002,Widget_B,438890,49707,333,18.26,EQ5745,Logistics,354272,372942.61,319585.51,740646,100992,Medium
2024-12-01,P004,Widget_D,216402,20690,633,14.31,EQ1113,Manufacturing,259052,299646.52,264706.55,579015,65856,High
2024-06-01,P004,Widget_D,139332,39474,953,17.69,EQ7765,Manufacturing,214472,239242.68,218479.51,611295,126855,Medium
2024-06-01,P003,Widget_C,358449,69631,3957,12.68,EQ5235,Manufacturing,208129,223795.35,201474.94,582327,113882,Low
2024-09-01,P002,Widget_B,476567,61027,2151,5.41,EQ4297,Assembly,231300,258998.82,228928.78,970646,104572,Low
2023-04-01,P003,Widget_C,205236,92457,2071,5.3,EQ6261,Logistics,231768,258049.57,247346.65,663372,80862,Low
2025-03-01,P003,Widget_C,337518,51134,4529,19.8,EQ7360,Manufacturing,218037,227171.23,219550.7,633130,52607,Low
2023-06-01,P004,Widget_D,183613,89598,465,14.78,EQ9774,Assembly,258505,264794.3,270176.58,579310,172560,Low
2023-03-01,P001,Widget_A,315233,50410,2681,13.97,EQ0117,Quality,228879,262556.87,229159.52,640191,117964,Medium
2024-07-01,P002,Widget_B,471263,38412,4740,13.66,EQ1720,Manufacturing,205338,216315.6,207561.96,938324,112369,High
2022-06-01,P003,Widget_C,379742,38379,770,19.37,EQ4162,Manufacturing,340356,383489.92,348303.82,788477,169868,High
2023-11-01,P001,Widget_A,244155,21057,106,7.91,EQ5133,Quality,319212,368724.65,326045.82,538938,163889,Low
2024-11-01,P002,Widget_B,417871,40069,3079,8.67,EQ1718,Quality,287369,306067.63,274675.99,605679,151907,Low
2024-06-01,P005,Widget_E,331211,53056,3307,16.92,EQ0688,Assembly,271904,279817.96,261853.24,656256,194486,Low
2024-11-01,P004,Widget_D,327533,33616,3266,18.69,EQ2344,Logistics,241508,247080.74,217821.2,532249,183104,Low
2023-05-01,P002,Widget_B,358442,59493,2755,8.33,EQ4441,Manufacturing,330879,338387.68,357131.33,499115,53660,Low
2022-08-01,P001,Widget_A,292626,23020,2921,12.0,EQ3936,Quality,301952,319237.27,326279.01,554152,167385,Low
2022-10-01,P005,Widget_E,476875,75358,2223,13.84,EQ7041,Assembly,307777,331551.71,335186.26,825996,163422,Low
2024-06-01,P005,Widget_E,430593,72609,1502,15.96,EQ8339,Logistics,366490,377715.09,370708.94,959083,69299,Low
2023-05-01,P002,Widget_B,262452,94465,703,15.32,EQ7365,Quality,263257,281826.74,269212.57,952459,153111,Medium
2023-12-01,P005,Widget_E,487316,50095,4656,19.27,EQ5286,Assembly,332493,340918.98,352593.24,613575,83159,Low
2023-12-01,P002,Widget_B,136625,62069,3231,5.43,EQ3645,Logistics,234527,243844.8,216546.99,770769,197122,Medium
2024-01-01,P005,Widget_E,101446,60977,980,11.67,EQ0311,Quality,248733,255524.11,243512.58,849035,188342,Low
2024-10-01,P005,Widget_E,102815,53644,233,8.61,EQ6624,Assembly,279564,306099.67,282154.37,916736,99860,Low
2024-09-01,P002,Widget_B,180624,90078,118,16.99,EQ2434,Manufacturing,255661,259244.74,267309.58,440583,124494,Low
2022-12-01,P004,Widget_D,340815,97418,880,9.82,EQ9228,Assembly,237506,251335.14,230036.51,982987,190740,Medium
