Date,Material_ID,Material_Name,Raw_Material_Stock,Finished_Goods_Stock,Inventory_Turnover_Ratio,Lead_Time_Days,Supplier_Name,Supplier_Rating,Purchase_Quantity,Consumption_Quantity,Order_ID,Promised_Delivery_Date,Actual_Delivery_Date,Reorder_Level,Delivery_Type
2023-04-23,MAT001,Steel,6232,555,10.05,9,"Reynolds, Stevenson and Cross",5,1336,1247,ORD37057,2023-05-06,2023-05-06,951,Outbound
2025-03-16,MAT005,Rubber,9329,640,7.5,10,Mendez-Jones,2,2184,1552,ORD43117,2025-03-22,2025-03-20,1454,Outbound
2023-04-23,MAT0010,Fabric,2540,3646,9.66,8,Brown Ltd,2,4200,3891,ORD61687,2023-05-05,2023-05-03,672,Inbound
2023-09-24,MAT0010,Fabric,1722,1509,7.77,18,"Owens, Becker and Anderson",4,1723,1583,ORD60007,2023-10-04,2023-10-06,1955,Outbound
2024-08-11,MAT008,Carbon Fiber,2257,1143,5.07,12,Cortez Ltd,2,1978,1630,ORD85419,2024-08-23,2024-08-25,1655,Inbound
2023-05-28,MAT008,Carbon Fiber,2508,4242,6.72,12,"Gonzalez, Woodard and Figueroa",4,3031,2463,ORD23173,2023-06-08,2023-06-06,1274,Inbound
2025-01-05,MAT002,Plastic,3755,2024,11.32,11,Herrera-Wilson,4,3114,2536,ORD89105,2025-01-12,2025-01-11,1940,Inbound
2023-04-23,MAT007,Wood,7468,3951,7.97,18,Roberts-Smith,5,4335,3542,ORD87750,2023-05-04,2023-05-05,1618,Inbound
2022-08-21,MAT0010,Fabric,2751,2709,10.53,9,Hicks Inc,3,3091,2738,ORD98162,2022-08-28,2022-08-28,1554,Inbound
2023-07-16,MAT005,Rubber,2894,1950,5.14,14,"Guerrero, Jones and Ramirez",2,4993,3497,ORD01829,2023-07-23,2023-07-25,1024,Outbound
2022-10-02,MAT004,Copper,8557,1206,7.09,11,"Garcia, Drake and Williams",5,2570,2275,ORD77893,2022-10-10,2022-10-08,763,Inbound
2023-04-09,MAT007,Wood,8444,1640,4.88,19,Frost PLC,4,2681,1918,ORD39663,2023-04-22,2023-04-23,1582,Outbound
2024-06-23,MAT007,Wood,9024,835,6.87,12,Elliott PLC,2,1214,1059,ORD31949,2024-07-05,2024-07-06,1040,Inbound
2022-06-12,MAT0010,Fabric,5486,3081,10.34,18,Hill-Hughes,5,3152,2830,ORD72242,2022-06-18,2022-06-16,1693,Inbound
2024-11-17,MAT007,Wood,3687,2095,6.8,5,"Tanner, Chandler and Morris",4,4541,4074,ORD48612,2024-11-29,2024-11-29,1995,Inbound
2024-12-01,MAT003,Aluminum,9735,2104,8.0,8,"Cook, Barnett and Rodriguez",3,4856,3937,ORD42490,2024-12-11,2024-12-12,1254,Inbound
2024-02-04,MAT005,Rubber,7879,825,10.94,8,Guzman PLC,3,2296,2170,ORD34955,2024-02-11,2024-02-11,1284,Inbound
2024-03-10,MAT006,Glass,8176,4243,4.54,6,Mack Inc,4,4497,3848,ORD27604,2024-03-17,2024-03-18,711,Inbound
