Date,Product_ID,Product_Name,Defect_Type,Defect_Count,Inspection_Result,Audit_Score,Rework_Count,Rejection_Count,Complaint_ID,Complaint_Reason,Lab_Test_Result,Test_Batch_ID,COPQ,Compliance_Status,Cpk,Ppk,First_Pass_Yield (%)
2024-05-31,P004,Widget_D,Crack,41,Pass,78,6,6,CMP33740,Packaging,Pass,TB96807,1961,Yes,1.56,1.76,90.14
2024-05-17,P004,Widget_D,Scratch,2,Pass,92,2,8,CMP69187,Dimension Error,Pass,TB05517,8542,Yes,1.26,1.34,85.45
2024-02-23,P002,Widget_B,Misalignment,31,Pass,89,12,6,CMP66108,Material Issue,Pass,TB94411,9063,Yes,1.8,1.7,90.89
2023-05-21,P002,Widget_B,Misalignment,35,Pass,91,16,9,CMP33598,Packaging,Pass,TB32734,5729,Yes,1.31,1.96,95.53
2023-12-13,P002,Widget_B,Dent,2,Pass,84,7,4,CMP69054,Material Issue,Pass,TB37729,4760,Yes,1.97,1.25,96.07
2023-06-29,P001,Widget_A,Misalignment,49,Pass,98,5,2,CMP04487,Surface Issue,Pass,TB20962,3718,Yes,1.94,1.35,96.31
2024-04-20,P005,Widget_E,Crack,39,Pass,80,2,0,CMP91301,Material Issue,Pass,TB03890,9680,No,1.74,1.8,86.62
2024-09-25,P003,Widget_C,Crack,27,Pass,76,6,1,CMP85657,Material Issue,Pass,TB93856,7663,Yes,1.26,1.64,91.35
2023-10-13,P005,Widget_E,Scratch,9,Pass,80,18,4,CMP56214,Packaging,Fail,TB55776,7227,Yes,1.69,1.72,97.8
2024-10-22,P005,Widget_E,Crack,2,Pass,82,16,7,CMP29081,Surface Issue,Pass,TB33743,3054,Yes,1.93,1.78,94.16
2023-10-06,P002,Widget_B,Crack,8,Pass,94,15,4,CMP87352,Surface Issue,Pass,TB76542,9673,Yes,1.43,1.01,94.3
2023-12-26,P002,Widget_B,None,9,Pass,78,14,3,CMP03266,Surface Issue,Pass,TB46220,6699,Yes,1.85,1.0,90.57
2023-08-30,P004,Widget_D,Dent,33,Pass,93,12,2,CMP61320,Surface Issue,Pass,TB93769,2776,Yes,1.51,1.44,90.44
2023-01-12,P002,Widget_B,Dent,24,Fail,82,6,8,CMP75773,Surface Issue,Pass,TB71790,4601,Yes,1.23,1.08,96.98
2022-05-23,P002,Widget_B,Scratch,22,Pass,89,11,2,CMP39303,Packaging,Pass,TB14746,8564,Yes,1.4,1.85,92.31
2023-05-06,P001,Widget_A,Crack,46,Pass,70,17,5,CMP00310,Surface Issue,Pass,TB62307,6973,Yes,1.95,1.72,92.77
2023-08-27,P001,Widget_A,Crack,35,Pass,99,16,0,CMP27668,Packaging,Pass,TB02520,4897,Yes,1.94,1.45,89.5
2023-01-15,P005,Widget_E,Misalignment,7,Pass,85,18,1,CMP68395,Packaging,Fail,TB41227,4737,Yes,1.82,1.01,95.13
2025-03-07,P005,Widget_E,Scratch,0,Pass,71,18,1,CMP41355,Dimension Error,Pass,TB54155,9822,Yes,1.03,1.63,86.72
2024-01-09,P002,Widget_B,Crack,10,Pass,88,1,4,CMP08582,Material Issue,Pass,TB41737,5733,Yes,1.51,1.69,92.8
2023-09-13,P001,Widget_A,Crack,7,Pass,86,3,0,CMP58308,Surface Issue,Pass,TB20113,4201,Yes,1.79,1.42,86.79
2023-09-04,P001,Widget_A,Scratch,3,Pass,74,16,8,CMP70944,Surface Issue,Pass,TB04790,6302,Yes,1.94,1.31,85.24
2022-05-27,P003,Widget_C,None,24,Fail,86,15,1,CMP09018,Dimension Error,Pass,TB05466,8329,No,1.81,1.97,92.65
2025-03-17,P001,Widget_A,Misalignment,19,Pass,81,9,2,CMP58881,Dimension Error,Pass,TB86989,6879,Yes,1.55,1.47,85.71
2023-06-04,P002,Widget_B,None,4,Pass,89,13,3,CMP87776,Dimension Error,Pass,TB76392,7280,Yes,1.65,1.69,89.81
2023-05-30,P001,Widget_A,None,22,Pass,89,9,1,CMP67918,Material Issue,Pass,TB49752,7069,Yes,1.32,1.63,85.99
2023-02-18,P005,Widget_E,Scratch,8,Fail,84,4,9,CMP40117,Material Issue,Pass,TB21907,4858,Yes,1.6,1.3,88.5
2023-12-08,P003,Widget_C,None,42,Pass,96,17,1,CMP38241,Surface Issue,Pass,TB63533,2518,Yes,1.25,1.59,89.99
2022-07-06,P003,Widget_C,Dent,26,Pass,90,19,4,CMP27578,Material Issue,Pass,TB07355,3422,Yes,1.79,1.04,94.89
